Var.1,Icon,Temp,Wind,Precip,Cloud,Humidity,Pressure
Fri.12 0.00.am,,75.6f,6.7 mph,0.01 in,71%,90%,29.8 in
Fri.12 3.00.am,,75.2f,7.6 mph,0.02 in,73%,90%,29.7 in
Fri.12 6.00.am,,75.6f,8.3 mph,0.04 in,79%,89%,29.8 in
Fri.12 9.00.am,,81.5f,10.3 mph,0.04 in,56%,78%,29.8 in
Fri.12 12.00.pm,,84.2f,11.2 mph,0.04 in,57%,74%,29.8 in
Fri.12 3.00.pm,,82.9f,10.3 mph,0.05 in,70%,77%,29.7 in
Fri.12 6.00.pm,,77.0f,6.9 mph,0.04 in,79%,87%,29.8 in
Fri.12 8.00.pm,,76.3f,5.8 mph,0.09 in,72%,88%,29.8 in
Fri.120.00.am,,75.6f,6.7 mph,0.01 in,71%,90%,29.8 in
Fri.123.00.am,,75.2f,7.6 mph,0.02 in,73%,90%,29.7 in
Fri.126.00.am,,75.6f,8.3 mph,0.04 in,79%,89%,29.8 in
Fri.129.00.am,,81.5f,10.3 mph,0.04 in,56%,78%,29.8 in
Fri.1212.00.pm,,84.2f,11.2 mph,0.04 in,57%,74%,29.8 in
Fri.123.00.pm,,82.9f,10.3 mph,0.05 in,70%,77%,29.7 in
Fri.126.00.pm,,77.0f,6.9 mph,0.04 in,79%,87%,29.8 in
Fri.128.00.pm,,76.3f,5.8 mph,0.09 in,72%,88%,29.8 in
Fri.120.00.am,,75.6f,6.7 mph,0.01 in,71%,90%,29.8 in
Fri.123.00.am,,75.2f,7.6 mph,0.02 in,73%,90%,29.7 in
Fri.126.00.am,,75.6f,8.3 mph,0.04 in,79%,89%,29.8 in
Fri.129.00.am,,81.5f,10.3 mph,0.04 in,56%,78%,29.8 in
Fri.1212.00.pm,,84.2f,11.2 mph,0.04 in,57%,74%,29.8 in
Fri.123.00.pm,,82.9f,10.3 mph,0.05 in,70%,77%,29.7 in
Fri.126.00.pm,,77.0f,6.9 mph,0.04 in,79%,87%,29.8 in
Fri.128.00.pm,,76.3f,5.8 mph,0.09 in,72%,88%,29.8 in
Fri.120.00.am,,75.6f,6.7 mph,0.01 in,71%,90%,29.8 in
Fri.123.00.am,,75.2f,7.6 mph,0.02 in,73%,90%,29.7 in
Fri.126.00.am,,75.6f,8.3 mph,0.04 in,79%,89%,29.8 in
Fri.129.00.am,,81.3f,11.9 mph,0.07 in,52%,82%,29.8 in
